Date,Open,High,Low,Close,Adj Close,Volume,ticker
2022-09-01,,,,,,,ITSA4.SA
2022-09-02,9.1899995803833,9.3100004196167,9.170000076293945,9.3100004196167,9.3100004196167,5920800.0,ITSA4.SA
